Id,Naziv
1419,Transplantacija bubrega - konzultacija bez pacijenta
880,Transplantacija rožnice
58,Traumatologija - Kontrolni pregled
57,Traumatologija - Prvi pregled
1410,Traumatologija - kirurška - konzultacija bez pacijenta
1424,Traumatologija - ortopedska - konzultacija bez pacijenta
772,Trepanotrabekulektomija (operacija glaukoma)
707,Trihogram
477,UZV abdomena
873,UZV color doppler VB sliva i arterije subklavije
875,UZV color doppler arterija
876,UZV color doppler arterija i vena
486,UZV color doppler karotida
877,UZV color doppler karotida i VB sliva
447,UZV color doppler vena
441,UZV dječjeg kuka
478,UZV dojke
1129,UZV doppler AVF dijaliza
1128,UZV doppler bubrežne arterije
1130,UZV doppler tkiva jetre
872,UZV lokomotornog sustava
747,UZV mokraćnog sustava za djecu
729,UZV mozga za djecu
646,UZV muskuloskeletnog sustava za djecu
771,UZV očne jabučice i orbite
698,UZV pazuha
1042,UZV površnih mekih tkiva
697,UZV prepona
874,UZV prostate
696,UZV slinovnica
480,UZV srca
759,UZV srca za djecu
451,UZV testisa 
1126,UZV transplantirane jetre
1127,UZV transplantiranog bubrega
649,UZV urološki
479,UZV vrata
563,UZV štitnjače
83,Ugradnja djelomične endoproteze koljena
80,Ugradnja parcijalne endoproteze kuka
82,Ugradnja totalne endoproteze koljena
79,Ugradnja totalne endoproteze kuka
1021,Umjetna pužnica - kontrolna prilagodba procesora govora
1022,Umjetna pužnica - provjera funkcionalnosti procesora govora
1020,Umjetna pužnica - prva prilagodba procesora govora
1008,Urinski kateter - promjena
1420,Urodinamika i neurourologija - konzultacija bez pacijenta
750,Urodinamika za djecu - invazivna
749,Urodinamika za djecu - neinvazivna
1007,Uroflow
748,Uroflow za djecu
952,Urogenitalno sijelo (onkologija) - kontrolni pregled
960,Urogenitalno sijelo (onkologija) - prvi pregled
100,Uroginekologija - Kontrolni pregled
99,Uroginekologija - Prvi pregled
1436,Uroginekologija - konzultacija bez pacijenta
1421,Urolitijaza - konzultacija bez pacijenta
76,Urologija - Kontrolni pregled
75,Urologija - Prvi pregled
1258,Urologija - konzultacija bez pacijenta
1098,Urologija - ostali postupci
1422,Urološka onkologija - konzultacija bez pacijenta
746,Uroterapija i biofeedback za djecu
1506,Uzimanje aspiracijskih i eksfolijativnih materijala
1625,Uzimanje brisa za dijagnostiku hripavac
1450,Uzimanje uzoraka za laboratorijske pretrage – medicinska biokemija
1449,Uzimanje uzoraka – mikrobiologija
1448,Uzimanje uzoraka – nuklearna medicina
1451,Uzimanje uzoraka – transfuziologija
706,VDRL i TPHA 
1028,VEMP (vestibularni evocirani miogeni potencijali)
770,VEP (vidni evocirani potencijali)
1047,VEP (vidni evocirani potencijali) s kortikalnom kartografijom
68,Vaskularna kirurgija - Kontrolni pregled
67,Vaskularna kirurgija - Prvi pregled
1415,Vaskularna kirurgija - konzultacija bez pacijenta
469,Venerologija - kontrolni pregled
468,Venerologija - prvi pregled
737,Ventolinski test za djecu
1046,Verbotonalni postupci - posebni
1035,Vestibularne vježbe
727,Vidni evocirani potencijali (VEP) za djecu
769,Vitrektomija pars plana
768,Vitrektomijsko vađenje silikonskog ulja
767,YAG laserska iridotomija - jedno oko
766,YAG laserska kapsulotomija - jedno oko
878,Zamjena srčanog zaliska 
81,Zamjena ugrađene endoproteze kuka
950,Živčani sustav (onkologija) - kontrolni pregled
958,Živčani sustav (onkologija) - prvi pregled
437,Žučnjak - laparoskopska operacija
