Id,Naziv
745,Edukacija za čistu intermitentnu kateterizaciju za djecu
722,Ekscizija kožne lezije
714,Ekspozicijski test na lijekove
966,Ekstrakcija
721,Elektrokoagulacija kožne lezije
787,Elektrookulografija
786,Elektroretinografija 
725,Elektroretinografija za djecu
18,Endokrinologija - Kontrolni pregled
17,Endokrinologija - Prvi pregled
1305,Endokrinologija - konzultacija bez pacijenta
848,Endokrinološka kirurgija – kontrolni pregled
852,Endokrinološka kirurgija – prvi pregled
1019,Endoskopija ORL
716,Epikutani alergotest
445,Ergometrija 
758,Ergometrija za djecu
739,Ergospirometrija za djecu
448,FENO test
741,FENO test - frakcija izdahnutog NO za djecu
471,Farmakologija - kontrolni pregled
470,Farmakologija - prvi pregled
1433,Fetalna medicina i opstetricija - konzultacija bez pacijenta
28,Fizikalna medicina i rehabilitacija - Kontrolni pregled
27,Fizikalna medicina i rehabilitacija - Prvi pregled
1249,Fizikalna medicina i rehabilitacija - konzultacija bez pacijenta
1089,Fizikalna medicina i rehabilitacija - ostali postupci
589,Fluoresceinska angiografija retine
91,Fonijatrija - Kontrolni pregled
90,Fonijatrija - Prvi pregled
1447,Fonijatrija - konzultacija bez pacijenta
1394,Forenzička psihijatrija - konzultacija bez pacijenta
718,Fotodinamska terapija kožnih lezija
785,Fotografiranje očne pozadine
717,Fototerapija kožnih bolesti
8,Gastroenterologija - Kontrolni pregled
7,Gastroenterologija - Prvi pregled
1326,Gastroenterologija - konzultacija bez pacijenta
949,Gastrointestinalno sijelo (onkologija) - kontrolni pregled
957,Gastrointestinalno sijelo (onkologija) - prvi pregled
481,Gastroskopija
735,Gastroskopija za djecu
1262,Ginekologija i opstetricija - konzultacija bez pacijenta
1102,Ginekologija i opstetricija - ostali postupci
459,Ginekologija opća - kontrolni pregled
458,Ginekologija opća - prvi pregled
98,Ginekološka onkologija - Kontrolni pregled
97,Ginekološka onkologija - Prvi pregled
1435,Ginekološka onkologija - konzultacija bez pacijenta
951,Ginekološko sijelo (onkologija) - kontrolni pregled
959,Ginekološko sijelo (onkologija) - prvi pregled
567,Glaukom - kontrolni pregled
566,Glaukom - prvi pregled
1431,Glaukomatologija - konzultacija bez pacijenta
947,Glava i vrat (onkologija) - kontrolni pregled
955,Glava i vrat (onkologija) - prvi pregled
12,Hematologija - Kontrolni pregled
11,Hematologija - Prvi pregled
1387,Hematologija - konzultacija bez pacijenta
1446,Hemodijaliza - konzultacija bez pacijenta
1206,Hemodijaliza - ostali postupci
438,Hernija preponska - operacija
647,Hiperbarična oksigenoterapija
1202,Hiperbarična oksigenoterapija - ostali postupci
1201,Hitna medicina (OHBP) - ostali postupci
483,Holter EKG
444,Holter tlaka (KMAT)
562,"Hormoni štitnjače (T3, T4, TSH)"
96,Humana reprodukcija - Kontrolni pregled
95,Humana reprodukcija - Prvi pregled
1434,Humana reprodukcija - konzultacija bez pacijenta
700,IVF/IVCSI sekundarni
702,IVF/IVCSI u stimuliranom ciklusu-blagi protokol
701,IVF/IVCSI u stimuliranom ciklusu-standardni protokol
705,Imunofluorescencijske pretrage kože
463,Infektologija - kontrolni pregled
1246,Infektologija - konzultacija bez pacijenta
1086,Infektologija - ostali postupci
462,Infektologija - prvi pregled
866,Infuzijska urografija
2,Interna medicina - Kontrolni pregled
1,Interna medicina - Prvi pregled
1245,Interna medicina - konzultacija bez pacijenta
1085,Interna medicina - ostali postupci
20,Internistička  onkologija - Kontrolni pregled
19,Internistička  onkologija - Prvi pregled
1328,Internistička onkologija - konzultacija bez pacijenta
948,Intratorakalno sijelo (onkologija) - kontrolni pregled
956,Intratorakalno sijelo (onkologija) - prvi pregled
790,Intravitrealna injekcija
784,Ispitivanje kolornog vida 
64,Kardijalna kirurgija - Kontrolni pregled
63,Kardijalna kirurgija - Prvi pregled
1413,Kardijalna kirurgija - konzultacija bez pacijenta
4,Kardiologija - Kontrolni pregled
3,Kardiologija - Prvi pregled
572,Kardiologija - aritmije srca - kontrolni pregled
571,Kardiologija - aritmije srca - prvi pregled
574,Kardiologija - hipertenzija - kontrolni pregled
573,Kardiologija - hipertenzija - prvi pregled
1385,Kardiologija - konzultacija bez pacijenta
94,Katarakta - operacija
944,Kemoterapija - ambulantna
856,Kemoterapija - hospitalna
851,Kirurgija dojke – kontrolni pregled
855,Kirurgija dojke – prvi pregled
849,Kirurgija paratireoidnih žlijezda – kontrolni pregled
853,Kirurgija paratireoidnih žlijezda – prvi pregled
1429,Kirurgija vjeđa i orbite - konzultacija bez pacijenta
